card_id,qr,deck,archetype,owner_table,held_by_table_at_setup,is_foreign_at_setup,validity,correct_action,penalty_aed,title,counterparty,amount,vat,format,route,verdict
RED-T09-X6,KP5C-01CF932B86,RED,X6,9,9,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T10-X4,KP5C-6472BCE9E7,RED,X4,10,10,False,INVALID,QUARANTINE,5000,NO ACCREDITED SERVICE PROVIDER,Internal — entity onboarding record,"Entity revenue: AED 71,400,000",n/a,—,No route — no ASP appointed,QUARANTINE
RED-T10-X5,KP5C-2BF7DD4C99,RED,X5,10,10,False,INVALID,QUARANTINE,100,FREE ZONE 'OUT OF SCOPE' CLAIM,Crescent Ventures DMCC,"AED 528,900.00","AED 25,185.71 @ 5%",PDF — marked 'Free Zone: outside DCTCE scope',C1 → C2 direct,QUARANTINE
RED-T10-X6,KP5C-98E82E089D,RED,X6,10,10,False,OUT_OF_SCOPE,QUARANTINE,0,B2C RETAIL SALE,Ms. A. Haddad — individual consumer,"AED 4,150.00",AED 197.62 @ 5%,Point-of-sale receipt,Retail POS — no ASP route,QUARANTINE
RED-T10-X1,KP5C-E25841C100,RED,X1,10,10,False,INVALID,QUARANTINE,100,SCANNED PDF INVOICE,Zenith Facilities Management LLC,"AED 312,750.00","AED 14,892.86 @ 5%","PDF — scanned, emailed as attachment",C1 → C2 direct (email),QUARANTINE
GRN-T01-01,KP5C-ED85F47951,GREEN,GRN-01,1,1,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T01-02,KP5C-6BA14B5796,GREEN,GRN-02,1,1,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T01-03,KP5C-29CE9EDD22,GREEN,GRN-03,1,1,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T01-04,KP5C-FED7F111FC,GREEN,GRN-04,1,1,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T01-05,KP5C-3F1AF82060,GREEN,GRN-05,1,1,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T01-06,KP5C-16E5564C53,GREEN,GRN-06,1,1,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T01-01,KP5C-1B11A52352,BLUE,BLU-01,1,1,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T01-02,KP5C-FDEF9F459E,BLUE,BLU-02,1,1,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T01-03,KP5C-C50EC08F7F,BLUE,BLU-03,1,1,False,,,,ASP FAST-TRACK,,,,,,
BLU-T01-04,KP5C-9D9D406C0D,BLUE,BLU-04,1,1,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T02-01,KP5C-0C33E5DF23,GREEN,GRN-01,2,2,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T02-02,KP5C-9E5F38885E,GREEN,GRN-02,2,2,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T02-03,KP5C-73A44D7C06,GREEN,GRN-03,2,2,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T02-04,KP5C-F99DC09726,GREEN,GRN-04,2,2,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T02-05,KP5C-9B5DBB2C21,GREEN,GRN-05,2,2,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T02-06,KP5C-5FC461BC4B,GREEN,GRN-06,2,2,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T02-01,KP5C-682C780C11,BLUE,BLU-01,2,2,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T02-02,KP5C-61F4DE8A93,BLUE,BLU-02,2,2,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T02-03,KP5C-70CCD1B42D,BLUE,BLU-03,2,2,False,,,,ASP FAST-TRACK,,,,,,
BLU-T02-04,KP5C-2D81C59B66,BLUE,BLU-04,2,2,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T03-01,KP5C-81BE370D39,GREEN,GRN-01,3,3,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T03-02,KP5C-A470CECEE4,GREEN,GRN-02,3,3,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T03-03,KP5C-AEE8DAC141,GREEN,GRN-03,3,3,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T03-04,KP5C-40093D7CFD,GREEN,GRN-04,3,3,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T03-05,KP5C-33169F5235,GREEN,GRN-05,3,3,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T03-06,KP5C-B05FB87D90,GREEN,GRN-06,3,3,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T03-01,KP5C-4A54A71D5E,BLUE,BLU-01,3,3,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T03-02,KP5C-3B137DB34A,BLUE,BLU-02,3,3,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T03-03,KP5C-5F9A832A58,BLUE,BLU-03,3,3,False,,,,ASP FAST-TRACK,,,,,,
BLU-T03-04,KP5C-2FC102A69E,BLUE,BLU-04,3,3,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T04-01,KP5C-D2EE693840,GREEN,GRN-01,4,4,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T04-02,KP5C-6B427E4D03,GREEN,GRN-02,4,4,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T04-03,KP5C-7BB96144BE,GREEN,GRN-03,4,4,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T04-04,KP5C-7E352A7736,GREEN,GRN-04,4,4,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T04-05,KP5C-0CA03D21A5,GREEN,GRN-05,4,4,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T04-06,KP5C-A756CAB973,GREEN,GRN-06,4,4,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T04-01,KP5C-D44973FB7C,BLUE,BLU-01,4,4,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T04-02,KP5C-BBD451D659,BLUE,BLU-02,4,4,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T04-03,KP5C-818D7D2E32,BLUE,BLU-03,4,4,False,,,,ASP FAST-TRACK,,,,,,
BLU-T04-04,KP5C-EF6A9FD91D,BLUE,BLU-04,4,4,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T05-01,KP5C-CCEEC3E491,GREEN,GRN-01,5,5,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T05-02,KP5C-2EAE7FA03A,GREEN,GRN-02,5,5,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T05-03,KP5C-59D152B3C1,GREEN,GRN-03,5,5,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T05-04,KP5C-5927F16A60,GREEN,GRN-04,5,5,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T05-05,KP5C-D731E8B3BB,GREEN,GRN-05,5,5,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T05-06,KP5C-BCA777F1D9,GREEN,GRN-06,5,5,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T05-01,KP5C-8DFB4C176D,BLUE,BLU-01,5,5,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T05-02,KP5C-15E401F91F,BLUE,BLU-02,5,5,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T05-03,KP5C-AC648F0AFC,BLUE,BLU-03,5,5,False,,,,ASP FAST-TRACK,,,,,,
BLU-T05-04,KP5C-7E6E0A1D78,BLUE,BLU-04,5,5,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T06-01,KP5C-F92D8DB4E2,GREEN,GRN-01,6,6,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T06-02,KP5C-25D03F403B,GREEN,GRN-02,6,6,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T06-03,KP5C-A4088C40D1,GREEN,GRN-03,6,6,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T06-04,KP5C-C2B534D053,GREEN,GRN-04,6,6,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T06-05,KP5C-A996944EC0,GREEN,GRN-05,6,6,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T06-06,KP5C-C5752573F8,GREEN,GRN-06,6,6,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T06-01,KP5C-5A8C1287B2,BLUE,BLU-01,6,6,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T06-02,KP5C-76718569CF,BLUE,BLU-02,6,6,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T06-03,KP5C-EB862E1E90,BLUE,BLU-03,6,6,False,,,,ASP FAST-TRACK,,,,,,
BLU-T06-04,KP5C-F8C7F1E765,BLUE,BLU-04,6,6,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T07-01,KP5C-1839C0E260,GREEN,GRN-01,7,7,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T07-02,KP5C-03B9648D0C,GREEN,GRN-02,7,7,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T07-03,KP5C-26B2E13719,GREEN,GRN-03,7,7,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T07-04,KP5C-07E3DEA128,GREEN,GRN-04,7,7,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T07-05,KP5C-DC71CFB0C3,GREEN,GRN-05,7,7,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T07-06,KP5C-F583279037,GREEN,GRN-06,7,7,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T07-01,KP5C-19B3518C05,BLUE,BLU-01,7,7,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T07-02,KP5C-E95C1B8ACC,BLUE,BLU-02,7,7,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T07-03,KP5C-1F681A71F9,BLUE,BLU-03,7,7,False,,,,ASP FAST-TRACK,,,,,,
BLU-T07-04,KP5C-A745FA3D86,BLUE,BLU-04,7,7,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T08-01,KP5C-1CDCB85383,GREEN,GRN-01,8,8,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T08-02,KP5C-25C0DC8E1A,GREEN,GRN-02,8,8,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T08-03,KP5C-BEAB9303ED,GREEN,GRN-03,8,8,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T08-04,KP5C-C8F7F6C473,GREEN,GRN-04,8,8,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T08-05,KP5C-B4F94D3B04,GREEN,GRN-05,8,8,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T08-06,KP5C-E30FD9412A,GREEN,GRN-06,8,8,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T08-01,KP5C-7E4A3ACA92,BLUE,BLU-01,8,8,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T08-02,KP5C-CF50F4891A,BLUE,BLU-02,8,8,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T08-03,KP5C-7AB5398832,BLUE,BLU-03,8,8,False,,,,ASP FAST-TRACK,,,,,,
BLU-T08-04,KP5C-11BDD9A818,BLUE,BLU-04,8,8,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T09-01,KP5C-5F621002AD,GREEN,GRN-01,9,9,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T09-02,KP5C-EC803FEE71,GREEN,GRN-02,9,9,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T09-03,KP5C-2C351B30C3,GREEN,GRN-03,9,9,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T09-04,KP5C-F72AD1F585,GREEN,GRN-04,9,9,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T09-05,KP5C-A9D284CA67,GREEN,GRN-05,9,9,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T09-06,KP5C-F6BF90E224,GREEN,GRN-06,9,9,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T09-01,KP5C-10CCD9623D,BLUE,BLU-01,9,9,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T09-02,KP5C-029A81DD53,BLUE,BLU-02,9,9,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T09-03,KP5C-161F427B54,BLUE,BLU-03,9,9,False,,,,ASP FAST-TRACK,,,,,,
BLU-T09-04,KP5C-50A8D7A9B7,BLUE,BLU-04,9,9,False,,,,MUTUAL RECOGNITION PACT,,,,,,
GRN-T10-01,KP5C-D821911A13,GREEN,GRN-01,10,10,False,,,,DEPLOY P.R.O. CARD,,,,,,
GRN-T10-02,KP5C-6B8B57F6F7,GREEN,GRN-02,10,10,False,,,,DEPLOY C-SUITE CARD,,,,,,
GRN-T10-03,KP5C-CAC8958358,GREEN,GRN-03,10,10,False,,,,SET DAILY TRANSACTION LIMIT,,,,,,
GRN-T10-04,KP5C-6F010B09E9,GREEN,GRN-04,10,10,False,,,,AI-OCR RECEIPT MATCHING,,,,,,
GRN-T10-05,KP5C-BB2085244C,GREEN,GRN-05,10,10,False,,,,CONSOLIDATE VIRTUAL IBANs,,,,,,
GRN-T10-06,KP5C-DAA8E6D6B4,GREEN,GRN-06,10,10,False,,,,CONTINUOUS LEDGER CLOSE,,,,,,
BLU-T10-01,KP5C-C7D57D6B91,BLUE,BLU-01,10,10,False,,,,CONSOLIDATE ENTITY,,,,,,
BLU-T10-02,KP5C-8641EF2C8C,BLUE,BLU-02,10,10,False,,,,WPS PAYROLL SYNC,,,,,,
BLU-T10-03,KP5C-120868660A,BLUE,BLU-03,10,10,False,,,,ASP FAST-TRACK,,,,,,
BLU-T10-04,KP5C-13909DA569,BLUE,BLU-04,10,10,False,,,,MUTUAL RECOGNITION PACT,,,,,,
PRACTICE-T01,KP5C-416373CA5B,PRACTICE,TUTORIAL,1,1,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T02,KP5C-3FA48AB089,PRACTICE,TUTORIAL,2,2,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T03,KP5C-C87DC85639,PRACTICE,TUTORIAL,3,3,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T04,KP5C-386BDB17B0,PRACTICE,TUTORIAL,4,4,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T05,KP5C-57A18BF3B3,PRACTICE,TUTORIAL,5,5,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T06,KP5C-FCEBA75B40,PRACTICE,TUTORIAL,6,6,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T07,KP5C-B91BA5DDCD,PRACTICE,TUTORIAL,7,7,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T08,KP5C-DD0EBC907C,PRACTICE,TUTORIAL,8,8,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T09,KP5C-76F6170B24,PRACTICE,TUTORIAL,9,9,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
PRACTICE-T10,KP5C-1978A01D66,PRACTICE,TUTORIAL,10,10,False,,,,PRACTICE INVOICE — SCAN ME FIRST,,,,,,
